,bmi,primary_eating,secondary_eating,exercise,fast_food,food_amount,stores,maj_ind,cat_occ,income_lvl,income_weekly
2553,24.700001,30.0,141.0,2.0,2.0,3.0,1.0,8,1,1,1192.3
2562,31.9,75.0,0.0,2.0,1.0,3.0,1.0,13,3,1,471.6
2569,22.5,55.0,4.0,1.0,1.0,3.0,2.0,4,6,0,500.0
2588,30.299999,45.0,11.0,2.0,1.0,3.0,2.0,4,5,1,1075.0
2626,31.9,100.0,0.0,1.0,1.0,3.0,1.0,5,3,1,1057.69
2651,30.200001,7.0,10.0,1.0,2.0,3.0,2.0,3,5,1,1000.0
2652,39.200001,44.0,0.0,1.0,2.0,3.0,4.0,12,3,1,288.46
2659,27.0,30.0,0.0,2.0,2.0,3.0,1.0,9,1,0,940.536575074
2701,21.4,30.0,25.0,1.0,1.0,3.0,2.0,8,1,1,1250.0
2716,31.6,20.0,30.0,1.0,1.0,3.0,3.0,10,1,1,380.76
2724,30.0,5.0,20.0,1.0,1.0,3.0,3.0,9,1,1,1500.0
2726,24.0,30.0,10.0,1.0,1.0,3.0,2.0,13,1,1,1057.69
2730,33.799999,105.0,3.0,2.0,1.0,3.0,1.0,5,3,1,800.0
2731,34.299999,15.0,10.0,2.0,2.0,3.0,1.0,6,2,1,300.0
2732,28.700001,15.0,0.0,2.0,2.0,3.0,1.0,10,1,1,1048.07
2734,21.9,30.0,15.0,2.0,2.0,3.0,2.0,13,2,0,880.0
2736,25.1,150.0,0.0,2.0,2.0,3.0,1.0,13,1,1,1720.0
2741,37.799999,30.0,20.0,2.0,2.0,3.0,2.0,10,1,0,240.0
2742,22.6,30.0,0.0,2.0,1.0,3.0,2.0,4,6,1,600.0
2744,25.799999,55.0,0.0,2.0,1.0,3.0,1.0,4,3,1,2000.0
2747,25.1,175.0,0.0,2.0,2.0,3.0,1.0,1,1,1,940.536575074
2754,27.200001,32.0,0.0,1.0,1.0,3.0,1.0,8,3,0,940.536575074
2757,31.799999,30.0,8.0,2.0,2.0,3.0,1.0,6,6,1,683.2
2766,22.700001,120.0,2.0,2.0,1.0,3.0,2.0,5,1,1,940.536575074
2770,28.799999,25.0,2.0,2.0,1.0,3.0,1.0,10,2,0,718.0
2780,23.700001,60.0,0.0,2.0,2.0,3.0,1.0,4,4,1,1288.46
2781,21.6,55.0,10.0,2.0,1.0,3.0,1.0,8,1,1,2211.53
2797,22.6,30.0,10.0,1.0,2.0,3.0,1.0,8,3,0,1000.0
2805,23.700001,60.0,20.0,1.0,1.0,3.0,1.0,10,2,1,769.23
2806,28.0,60.0,10.0,2.0,1.0,3.0,1.0,3,5,1,168.0
2807,41.5,80.0,8.0,2.0,1.0,3.0,1.0,12,1,1,1153.84
2809,36.599998,135.0,17.0,1.0,1.0,3.0,1.0,11,3,1,225.0
2814,24.799999,120.0,0.0,2.0,1.0,3.0,2.0,5,1,1,520.0
2821,27.5902193611,25.0,20.0,2.0,1.0,3.0,2.0,13,3,1,2884.61
2826,30.700001,60.0,0.0,2.0,2.0,3.0,1.0,10,2,0,175.2
2844,25.1,10.0,0.0,1.0,2.0,3.0,2.0,4,6,1,876.8
2845,34.900002,0.0,30.0,1.0,1.0,3.0,1.0,10,1,1,1200.0
2850,25.0,40.0,30.0,2.0,2.0,3.0,1.0,10,1,1,1887.5
2879,28.299999,45.0,2.0,1.0,1.0,3.0,1.0,1,4,0,323.07
2887,26.6,90.0,60.0,2.0,2.0,3.0,5.0,10,1,1,623.07
2918,24.9,60.0,0.0,1.0,2.0,3.0,1.0,1,1,0,940.536575074
2919,27.5902193611,100.0,0.0,1.0,1.0,2.0,2.0,4,6,0,480.0
2932,24.6,11.0,11.0,2.0,1.0,3.0,2.0,8,3,1,601.75
2949,26.5,30.0,0.0,2.0,2.0,3.0,1.0,5,5,0,240.0
2968,18.299999,50.0,10.0,1.0,2.0,2.0,5.0,11,3,0,480.0
2978,30.0,90.0,0.0,2.0,1.0,3.0,2.0,10,2,1,557.69
2989,28.700001,65.0,60.0,2.0,1.0,1.0,1.0,9,1,1,940.536575074
2991,35.400002,30.0,15.0,2.0,2.0,3.0,1.0,8,1,1,538.0
2998,21.9,0.0,155.0,2.0,1.0,3.0,1.0,9,1,1,1730.76
3005,27.6,80.0,0.0,2.0,1.0,3.0,1.0,10,1,0,450.0
3012,25.299999,30.0,0.0,2.0,1.0,3.0,1.0,13,1,1,2884.61
3020,20.700001,25.0,30.0,2.0,2.0,3.0,1.0,9,1,1,865.38
3021,22.299999,50.0,15.0,2.0,1.0,3.0,2.0,5,1,1,680.0
3032,20.6,0.0,40.0,2.0,2.0,3.0,1.0,4,3,1,1057.69
3037,25.799999,30.0,210.0,1.0,1.0,3.0,2.0,7,1,1,1009.0
3040,25.4,40.0,3.0,2.0,2.0,3.0,1.0,12,2,1,240.0
3043,22.1,75.0,0.0,2.0,1.0,3.0,1.0,10,1,1,2211.53
3046,19.0,45.0,10.0,2.0,2.0,3.0,3.0,10,1,1,2057.69
3053,21.299999,75.0,0.0,2.0,2.0,3.0,1.0,11,1,1,750.0
3054,25.4,20.0,10.0,1.0,1.0,3.0,2.0,10,3,1,941.4
3061,36.599998,70.0,4.0,2.0,1.0,3.0,1.0,8,1,1,900.0
3067,25.5,310.0,0.0,2.0,1.0,3.0,2.0,7,1,1,940.536575074
3097,47.400002,30.0,45.0,1.0,1.0,3.0,1.0,9,3,0,400.0
3101,29.0,75.0,0.0,1.0,1.0,2.0,1.0,8,2,0,583.6
3116,28.299999,30.0,0.0,1.0,1.0,2.0,2.0,10,2,0,315.0
3118,40.299999,45.0,5.0,1.0,1.0,3.0,1.0,9,5,0,600.0
3130,21.6,20.0,0.0,2.0,1.0,3.0,2.0,13,3,1,831.0
3140,20.200001,30.0,60.0,2.0,1.0,3.0,1.0,4,1,1,826.0
3154,32.299999,30.0,10.0,2.0,1.0,3.0,1.0,10,1,1,1711.53
3162,29.200001,75.0,20.0,2.0,1.0,3.0,1.0,10,1,1,730.76
3163,29.799999,30.0,0.0,2.0,1.0,3.0,1.0,3,1,1,940.536575074
3164,27.299999,40.0,10.0,2.0,1.0,3.0,1.0,9,1,1,1442.3
3171,30.700001,120.0,0.0,2.0,2.0,3.0,1.0,3,1,1,2211.53
3180,25.799999,90.0,0.0,2.0,1.0,2.0,1.0,5,1,1,420.0
3187,28.1,30.0,0.0,1.0,2.0,2.0,1.0,10,2,0,326.92
3189,37.299999,90.0,0.0,2.0,1.0,3.0,1.0,12,1,1,940.536575074
3204,27.5902193611,60.0,0.0,1.0,1.0,3.0,2.0,9,1,0,575.0
3213,26.5,27.0,0.0,2.0,1.0,3.0,1.0,12,2,1,1150.0
3217,24.6,60.0,30.0,2.0,1.0,3.0,2.0,9,1,1,769.23
3245,25.700001,30.0,0.0,2.0,1.0,3.0,1.0,13,2,1,1280.0
3254,35.700001,80.0,10.0,1.0,1.0,3.0,1.0,9,2,0,940.536575074
3264,27.5902193611,20.0,10.0,1.0,1.0,3.0,2.0,4,6,0,425.0
3266,24.0,30.0,15.0,2.0,1.0,3.0,1.0,6,3,1,1346.15
3284,31.6,10.0,30.0,2.0,2.0,3.0,5.0,6,6,1,1538.0
3301,31.200001,90.0,2.0,2.0,1.0,3.0,1.0,9,1,1,940.536575074
3303,21.1,75.0,0.0,1.0,2.0,3.0,1.0,4,1,1,442.0
3310,21.5,30.0,25.0,2.0,1.0,3.0,1.0,10,1,1,1760.0
3319,23.700001,15.0,10.0,2.0,1.0,3.0,1.0,13,2,1,860.0
3322,20.799999,150.0,0.0,2.0,2.0,3.0,1.0,10,1,1,1346.15
3328,27.5902193611,180.0,0.0,2.0,1.0,1.0,1.0,5,1,0,1800.0
3331,36.5,0.0,694.0,1.0,1.0,3.0,1.0,4,3,1,600.0
3334,23.1,40.0,0.0,2.0,1.0,3.0,1.0,5,6,1,840.0
3344,30.0,60.0,60.0,2.0,1.0,3.0,1.0,13,1,1,1615.38
3345,30.799999,90.0,0.0,1.0,1.0,3.0,1.0,13,1,1,1250.0
3347,23.200001,20.0,40.0,2.0,2.0,3.0,1.0,5,3,1,940.536575074
3354,32.200001,30.0,0.0,2.0,1.0,3.0,1.0,4,5,1,2469.04
3356,28.299999,10.0,50.0,1.0,1.0,3.0,1.0,9,1,1,345.0
3360,22.299999,90.0,25.0,1.0,1.0,3.0,2.0,11,2,0,200.0
3366,22.6,30.0,20.0,2.0,2.0,3.0,1.0,10,1,1,1230.76
3370,22.799999,80.0,15.0,2.0,2.0,3.0,1.0,10,1,1,807.69
3371,17.4,30.0,27.0,2.0,1.0,3.0,1.0,11,1,0,400.0
3374,26.6,75.0,0.0,2.0,1.0,3.0,1.0,8,1,0,940.536575074
3414,29.299999,30.0,18.0,2.0,1.0,3.0,1.0,9,1,1,730.76
3424,26.6,45.0,30.0,2.0,1.0,3.0,1.0,12,1,1,1153.84
3428,26.299999,10.0,20.0,1.0,1.0,3.0,1.0,10,1,1,1080.0
3431,50.799999,65.0,0.0,1.0,1.0,3.0,5.0,8,1,1,865.38
3432,25.799999,170.0,0.0,2.0,1.0,1.0,1.0,4,6,0,666.0
3439,29.1,135.0,0.0,2.0,2.0,3.0,1.0,9,1,1,940.536575074
3440,22.5,60.0,0.0,2.0,1.0,3.0,1.0,9,1,1,1923.07
3443,27.299999,31.0,3.0,2.0,2.0,3.0,1.0,11,2,1,295.5
3447,24.4,30.0,0.0,2.0,2.0,3.0,2.0,7,1,1,950.0
3450,28.799999,150.0,10.0,1.0,1.0,0.0,2.0,9,2,0,250.0
3461,23.0,60.0,10.0,2.0,2.0,3.0,1.0,10,2,0,940.536575074
3473,24.0,80.0,5.0,2.0,1.0,3.0,1.0,4,6,1,940.536575074
3488,38.099998,75.0,25.0,1.0,1.0,3.0,5.0,3,5,0,650.0
3490,39.900002,0.0,120.0,2.0,2.0,3.0,5.0,9,1,1,600.0
3497,25.799999,80.0,0.0,2.0,2.0,3.0,1.0,5,3,1,625.0
3506,25.799999,100.0,0.0,1.0,1.0,3.0,1.0,8,3,1,940.536575074
3507,34.900002,30.0,60.0,2.0,1.0,3.0,1.0,8,1,1,900.0
3508,25.0,25.0,0.0,2.0,2.0,3.0,2.0,12,2,0,400.0
3509,23.6,30.0,160.0,2.0,1.0,3.0,2.0,9,3,0,1057.69
3515,23.299999,70.0,0.0,2.0,2.0,3.0,1.0,8,3,1,200.0
3516,23.9,65.0,0.0,2.0,1.0,3.0,1.0,10,1,0,403.84
3523,26.6,50.0,12.0,2.0,1.0,3.0,1.0,9,6,1,500.0
3532,30.799999,120.0,0.0,2.0,1.0,3.0,1.0,13,2,1,1605.76
3533,26.1,15.0,15.0,2.0,1.0,3.0,1.0,4,1,1,880.0
3537,46.900002,65.0,0.0,1.0,2.0,3.0,1.0,10,2,0,90.0
3553,27.4,5.0,7.0,1.0,1.0,3.0,1.0,7,1,1,1442.3
3555,25.1,90.0,10.0,2.0,2.0,3.0,1.0,12,1,1,519.23
3557,27.5902193611,65.0,6.0,2.0,1.0,1.0,1.0,9,1,0,360.0
3560,45.700001,60.0,20.0,2.0,2.0,3.0,1.0,4,1,1,326.92
3565,25.4,60.0,0.0,2.0,1.0,3.0,1.0,10,1,1,673.07
3587,26.6,45.0,0.0,2.0,1.0,3.0,1.0,10,1,0,1307.69
3593,27.5902193611,30.0,0.0,1.0,2.0,3.0,5.0,4,5,1,812.0
3637,21.0,45.0,10.0,2.0,1.0,3.0,2.0,4,1,1,1346.15
3638,26.6,45.0,10.0,1.0,1.0,3.0,2.0,5,3,0,300.0
3639,26.1,15.0,30.0,2.0,1.0,3.0,1.0,4,1,1,940.536575074
3643,32.5,30.0,0.0,2.0,1.0,3.0,1.0,13,3,1,920.0
3658,35.900002,60.0,250.0,2.0,1.0,3.0,2.0,10,1,1,615.38
3670,21.5,120.0,0.0,2.0,1.0,3.0,2.0,10,1,0,425.0
3673,31.299999,79.0,0.0,2.0,1.0,3.0,1.0,9,3,0,440.0
3695,44.599998,85.0,0.0,2.0,1.0,3.0,1.0,9,1,1,1192.3
3696,23.700001,90.0,0.0,2.0,2.0,3.0,4.0,4,1,1,940.536575074
3704,26.9,90.0,0.0,2.0,2.0,2.0,1.0,5,2,0,160.0
3710,23.6,30.0,0.0,1.0,1.0,3.0,1.0,6,1,1,940.536575074
3742,27.6,48.0,5.0,2.0,1.0,3.0,1.0,8,1,1,1250.0
3752,30.5,90.0,0.0,2.0,2.0,3.0,1.0,5,5,1,667.5
3763,23.0,45.0,13.0,2.0,1.0,3.0,2.0,10,1,1,2375.0
3764,29.9,75.0,300.0,2.0,1.0,1.0,5.0,11,2,1,900.0
3766,57.200001,90.0,5.0,2.0,1.0,3.0,1.0,2,6,1,1615.38
3776,37.299999,60.0,0.0,2.0,1.0,3.0,2.0,4,6,1,866.25
3793,29.5,30.0,30.0,1.0,1.0,3.0,2.0,5,3,1,750.0
3794,23.5,70.0,0.0,2.0,2.0,3.0,1.0,10,1,1,865.38
3805,31.4,20.0,15.0,2.0,1.0,3.0,5.0,13,2,1,865.38
3807,22.299999,220.0,10.0,2.0,1.0,3.0,1.0,9,1,1,1712.5
3838,22.799999,25.0,18.0,1.0,2.0,3.0,1.0,5,3,1,769.23
3839,32.799999,60.0,0.0,1.0,1.0,3.0,5.0,9,3,1,1115.38
3869,56.599998,15.0,120.0,1.0,1.0,3.0,1.0,12,2,0,940.536575074
3892,25.1,20.0,15.0,2.0,2.0,3.0,1.0,5,3,1,865.38
3903,25.700001,30.0,90.0,2.0,2.0,3.0,1.0,10,1,1,557.69
3904,25.1,5.0,30.0,2.0,1.0,1.0,2.0,11,1,1,2403.84
3910,44.299999,95.0,15.0,1.0,1.0,3.0,1.0,13,1,1,2038.46
3912,21.5,90.0,10.0,2.0,1.0,3.0,2.0,4,6,1,750.0
3915,30.9,90.0,15.0,1.0,1.0,3.0,1.0,6,1,0,807.69
3920,22.200001,1.0,12.0,2.0,2.0,3.0,1.0,6,2,1,756.0
3923,40.299999,10.0,15.0,1.0,1.0,3.0,1.0,10,1,1,807.69
3931,33.799999,20.0,20.0,2.0,2.0,3.0,1.0,10,6,0,401.6
3932,28.0,105.0,4.0,2.0,2.0,3.0,1.0,8,1,1,2307.69
3939,30.299999,60.0,2.0,2.0,1.0,3.0,2.0,10,5,1,450.0
3941,35.400002,40.0,3.0,1.0,1.0,3.0,1.0,10,1,1,884.61
3943,19.1,40.0,0.0,2.0,1.0,3.0,2.0,12,1,1,961.53
3949,27.5902193611,80.0,5.0,2.0,2.0,3.0,2.0,10,1,1,1019.23
3952,18.299999,120.0,0.0,1.0,1.0,3.0,1.0,5,3,0,546.0
3959,26.5,20.0,40.0,2.0,1.0,3.0,1.0,10,1,1,530.76
3964,32.099998,35.0,20.0,1.0,1.0,2.0,2.0,4,3,0,403.84
3965,26.6,60.0,0.0,1.0,2.0,3.0,1.0,11,2,1,96.0
3986,33.900002,45.0,50.0,1.0,1.0,3.0,1.0,10,2,0,444.8
3998,30.700001,220.0,0.0,1.0,1.0,3.0,1.0,1,1,1,940.536575074
4006,22.299999,90.0,65.0,2.0,1.0,3.0,1.0,8,3,1,2884.61
4036,23.5,30.0,0.0,2.0,1.0,3.0,1.0,11,1,1,940.536575074
4045,27.5902193611,15.0,0.0,1.0,1.0,3.0,1.0,13,3,1,700.0
4049,28.700001,60.0,45.0,1.0,2.0,3.0,1.0,10,2,0,625.0
4052,27.5902193611,65.0,0.0,2.0,2.0,3.0,1.0,10,1,1,423.07
4090,19.799999,75.0,0.0,1.0,1.0,3.0,1.0,10,2,1,460.0
4099,24.4,120.0,0.0,2.0,1.0,3.0,1.0,9,1,1,576.92
4102,24.9,90.0,0.0,2.0,1.0,3.0,1.0,10,1,1,1153.0
4105,19.0,10.0,40.0,2.0,1.0,3.0,1.0,5,3,1,673.07
4115,25.799999,15.0,765.0,1.0,1.0,3.0,1.0,5,3,1,690.0
4140,27.0,20.0,10.0,2.0,1.0,3.0,1.0,6,5,1,1005.2
4158,25.799999,15.0,3.0,1.0,1.0,3.0,3.0,3,5,1,1525.0
4162,22.1,120.0,5.0,1.0,1.0,3.0,1.0,5,1,1,1461.53
4164,28.299999,80.0,20.0,2.0,1.0,3.0,1.0,13,1,1,1423.07
4166,25.700001,180.0,0.0,1.0,2.0,3.0,1.0,10,1,1,2039.04
4168,20.6,150.0,0.0,2.0,1.0,3.0,1.0,10,3,0,682.8
4175,20.0,50.0,10.0,2.0,2.0,3.0,1.0,10,1,1,230.76
4181,22.4,45.0,25.0,1.0,1.0,3.0,1.0,13,1,1,1923.07
4182,29.299999,30.0,10.0,2.0,2.0,3.0,1.0,7,1,0,576.92
4187,23.6,45.0,0.0,2.0,1.0,3.0,1.0,8,3,1,1923.07
4203,23.6,95.0,0.0,2.0,1.0,3.0,1.0,9,2,1,940.536575074
4205,19.799999,0.0,5.0,1.0,2.0,3.0,1.0,5,3,0,384.61
4206,36.900002,10.0,0.0,1.0,1.0,3.0,1.0,4,1,1,1352.0
4214,28.299999,85.0,60.0,2.0,2.0,3.0,1.0,5,3,1,100.0
4215,20.1,190.0,21.0,2.0,2.0,3.0,1.0,10,1,0,442.3
4219,25.799999,25.0,0.0,2.0,1.0,3.0,1.0,9,1,1,2730.0
4233,18.0,76.0,21.0,2.0,2.0,3.0,1.0,5,3,0,80.0
4235,34.0,0.0,20.0,2.0,1.0,3.0,1.0,10,1,1,1076.92
4257,26.6,50.0,40.0,2.0,2.0,3.0,1.0,10,1,1,1288.46
4258,25.1,255.0,0.0,2.0,1.0,3.0,1.0,8,1,1,2884.61
4274,27.799999,95.0,1.0,2.0,1.0,3.0,1.0,10,1,1,940.536575074
4275,29.9,45.0,0.0,1.0,1.0,3.0,2.0,5,3,1,600.0
4281,27.4,100.0,10.0,2.0,1.0,3.0,1.0,5,3,1,769.23
4282,26.5,60.0,40.0,1.0,1.0,3.0,1.0,3,1,1,1153.84
4294,38.700001,90.0,10.0,2.0,1.0,3.0,1.0,10,1,1,1153.84
4297,27.5902193611,80.0,0.0,2.0,1.0,3.0,1.0,8,1,1,1461.53
4312,27.5,50.0,10.0,2.0,1.0,3.0,1.0,10,1,1,450.0
4319,20.299999,350.0,30.0,1.0,2.0,3.0,1.0,8,3,1,940.536575074
4323,26.1,90.0,0.0,2.0,2.0,3.0,1.0,8,1,1,796.74
4328,31.9,70.0,0.0,2.0,2.0,3.0,1.0,9,5,1,520.0
4335,27.5902193611,15.0,5.0,1.0,2.0,3.0,1.0,4,6,0,320.0
4342,29.200001,40.0,5.0,2.0,1.0,3.0,1.0,4,3,1,721.15
4348,24.200001,10.0,0.0,2.0,1.0,3.0,1.0,9,1,1,2307.69
4355,25.799999,90.0,60.0,2.0,1.0,3.0,1.0,5,3,0,288.46
4362,25.6,45.0,5.0,1.0,2.0,3.0,2.0,9,2,0,420.0
4382,29.0,35.0,0.0,2.0,1.0,3.0,3.0,9,1,1,940.536575074
4383,27.4,60.0,0.0,1.0,1.0,3.0,1.0,9,3,1,481.6
4415,32.0,50.0,10.0,2.0,2.0,2.0,1.0,10,1,1,400.0
4417,31.299999,10.0,0.0,2.0,0.0,3.0,1.0,12,2,0,96.0
4433,24.299999,2.0,30.0,2.0,2.0,3.0,1.0,12,1,1,750.0
4434,32.5,10.0,0.0,1.0,1.0,3.0,1.0,1,1,1,940.536575074
4439,22.6,85.0,0.0,2.0,1.0,3.0,1.0,8,3,1,1634.61
4440,26.200001,140.0,5.0,2.0,1.0,3.0,1.0,4,1,1,1980.76
4450,31.0,110.0,0.0,1.0,2.0,3.0,5.0,11,6,0,250.0
4453,27.5902193611,45.0,10.0,1.0,2.0,3.0,2.0,9,2,1,150.0
4464,33.700001,90.0,0.0,1.0,1.0,3.0,2.0,6,6,1,787.5
4465,23.0,135.0,15.0,2.0,1.0,3.0,1.0,9,1,1,1240.38
4467,31.299999,60.0,0.0,1.0,1.0,3.0,1.0,4,6,0,497.0
4482,21.5,60.0,0.0,2.0,2.0,3.0,1.0,11,2,1,556.0
4488,28.200001,70.0,30.0,2.0,1.0,3.0,3.0,7,1,1,1120.0
4489,26.6,90.0,5.0,2.0,2.0,3.0,1.0,8,1,0,940.536575074
4490,47.5,50.0,0.0,2.0,2.0,3.0,3.0,12,1,1,997.5
4494,26.5,150.0,0.0,2.0,1.0,3.0,1.0,3,1,1,1884.61
4498,27.5,60.0,20.0,2.0,1.0,3.0,2.0,9,2,0,940.536575074
4505,53.099998,25.0,10.0,1.0,1.0,2.0,1.0,10,2,0,200.0
4507,25.0,41.0,0.0,2.0,2.0,3.0,1.0,11,6,0,29.0
4531,28.299999,90.0,5.0,2.0,2.0,3.0,1.0,10,1,1,1333.33
4539,23.700001,40.0,13.0,2.0,1.0,3.0,2.0,3,5,0,940.536575074
4550,29.700001,60.0,0.0,1.0,1.0,3.0,1.0,9,1,0,238.0
4553,24.4,300.0,10.0,2.0,1.0,3.0,1.0,6,1,1,1000.0
4559,35.900002,30.0,20.0,2.0,2.0,3.0,1.0,9,1,1,940.536575074
4561,26.299999,100.0,10.0,2.0,1.0,3.0,2.0,4,6,1,208.0
4568,37.0,0.0,45.0,2.0,1.0,3.0,2.0,10,1,1,942.3
4573,32.099998,120.0,0.0,2.0,1.0,3.0,1.0,10,1,1,1200.0
4582,24.700001,15.0,5.0,2.0,2.0,2.0,1.0,12,3,1,1538.46
4583,21.1,50.0,20.0,1.0,1.0,3.0,2.0,6,6,1,550.0
4590,22.6,25.0,3.0,2.0,1.0,3.0,1.0,11,1,0,673.07
4591,23.4,35.0,30.0,2.0,1.0,3.0,1.0,2,1,1,1288.46
4595,28.700001,30.0,4.0,2.0,1.0,3.0,2.0,10,1,1,1192.3
4633,26.6,120.0,0.0,1.0,2.0,3.0,1.0,8,1,1,1115.38
4634,36.299999,45.0,0.0,1.0,1.0,3.0,1.0,13,2,1,1673.07
4642,28.200001,50.0,0.0,1.0,2.0,3.0,1.0,5,3,1,605.5
4646,25.1,25.0,20.0,2.0,2.0,3.0,5.0,13,1,1,961.53
4655,32.799999,15.0,30.0,1.0,2.0,3.0,1.0,9,1,1,925.0
4657,22.299999,100.0,0.0,2.0,2.0,3.0,1.0,13,5,1,1101.6
4670,27.299999,45.0,0.0,2.0,1.0,3.0,1.0,11,2,1,369.23
4674,23.1,115.0,37.0,2.0,1.0,3.0,1.0,8,3,1,940.536575074
4694,23.700001,110.0,0.0,2.0,1.0,3.0,1.0,7,3,1,1153.84
4710,25.4,10.0,40.0,2.0,2.0,3.0,1.0,10,1,1,500.0
4711,23.0,30.0,0.0,2.0,2.0,3.0,1.0,11,2,0,300.0
4719,28.700001,50.0,5.0,2.0,2.0,3.0,2.0,13,3,1,331.6
4736,28.299999,95.0,3.0,1.0,2.0,3.0,1.0,10,1,1,1211.53
4737,31.1,170.0,15.0,2.0,2.0,3.0,1.0,9,1,1,940.536575074
4754,32.900002,50.0,15.0,2.0,1.0,3.0,1.0,5,3,0,230.76
4760,25.799999,180.0,10.0,2.0,2.0,3.0,1.0,10,1,1,846.15
4768,32.700001,40.0,10.0,2.0,1.0,3.0,2.0,7,3,0,545.5
4771,27.4,15.0,20.0,2.0,1.0,2.0,1.0,11,2,1,650.0
4774,23.4,40.0,0.0,1.0,2.0,3.0,1.0,5,3,0,340.0
4804,22.4,75.0,0.0,1.0,2.0,3.0,2.0,3,5,0,940.536575074
4815,28.1,60.0,10.0,2.0,1.0,3.0,1.0,5,3,0,384.0
4821,23.1,45.0,25.0,2.0,1.0,3.0,3.0,10,1,1,1153.84
4822,28.6,130.0,0.0,2.0,2.0,3.0,1.0,8,1,0,940.536575074
4833,31.9,55.0,0.0,2.0,1.0,3.0,2.0,10,2,1,546.0
4841,26.4,70.0,0.0,1.0,1.0,3.0,2.0,1,4,1,500.0
4850,27.299999,40.0,10.0,2.0,2.0,3.0,1.0,10,6,0,595.0
4857,30.700001,35.0,15.0,2.0,2.0,3.0,1.0,9,3,1,1056.0
4861,21.700001,0.0,60.0,2.0,1.0,3.0,1.0,5,1,1,2230.76
4870,31.9,80.0,0.0,1.0,1.0,3.0,1.0,4,6,1,798.07
4874,24.5,60.0,15.0,1.0,2.0,3.0,1.0,5,6,0,161.53
4889,25.1,70.0,0.0,2.0,1.0,3.0,1.0,4,3,1,650.0
4895,26.5,120.0,0.0,1.0,2.0,3.0,2.0,10,2,0,700.0
4897,37.099998,115.0,5.0,2.0,1.0,3.0,1.0,11,2,1,139.5
4922,34.400002,65.0,0.0,2.0,1.0,3.0,1.0,9,1,1,1634.61
4940,31.5,90.0,20.0,2.0,1.0,3.0,1.0,6,3,1,415.38
4946,28.4,105.0,0.0,1.0,1.0,2.0,2.0,3,5,0,400.0
4950,25.700001,106.0,480.0,1.0,2.0,3.0,1.0,9,3,1,484.0
4960,42.900002,35.0,10.0,1.0,1.0,3.0,1.0,11,3,1,461.53
4970,24.1,50.0,0.0,2.0,1.0,3.0,1.0,13,1,1,1105.76
4978,29.200001,50.0,60.0,2.0,1.0,3.0,1.0,9,1,1,940.536575074
4982,25.799999,30.0,0.0,2.0,1.0,2.0,1.0,5,3,1,1038.46
4990,23.0,5.0,0.0,1.0,2.0,3.0,5.0,4,6,0,550.0
4991,32.299999,60.0,16.0,2.0,1.0,3.0,1.0,10,1,1,1538.46
4995,19.6,80.0,0.0,2.0,1.0,3.0,1.0,9,1,1,1211.0
5004,31.0,90.0,15.0,1.0,1.0,3.0,2.0,9,1,1,2211.53
5023,33.900002,0.0,30.0,2.0,2.0,3.0,1.0,4,6,1,400.0
5028,26.4,90.0,0.0,2.0,2.0,3.0,2.0,3,5,1,1307.69
5033,25.6,135.0,0.0,2.0,2.0,3.0,2.0,10,2,0,421.0
5040,25.200001,80.0,1.0,2.0,1.0,3.0,1.0,13,2,1,826.92
5043,28.200001,75.0,0.0,2.0,1.0,3.0,1.0,9,1,1,940.536575074
5046,26.200001,55.0,10.0,1.0,1.0,3.0,1.0,4,6,1,1000.0
5050,32.099998,60.0,0.0,2.0,1.0,3.0,1.0,10,1,0,424.4
5054,31.6,0.0,20.0,2.0,1.0,3.0,1.0,5,3,1,1442.3
5061,25.5,15.0,20.0,2.0,1.0,3.0,1.0,10,3,1,500.0
5096,23.200001,35.0,30.0,2.0,1.0,3.0,2.0,10,1,0,1192.3
5102,25.4,45.0,2.0,2.0,2.0,3.0,2.0,9,3,1,480.76
5103,29.0,15.0,190.0,2.0,2.0,3.0,1.0,11,2,0,370.0
5120,29.799999,105.0,20.0,2.0,1.0,3.0,1.0,10,1,1,1153.84
5124,43.599998,70.0,10.0,1.0,1.0,3.0,1.0,10,1,1,615.38
5127,27.9,46.0,0.0,2.0,1.0,3.0,5.0,9,5,1,544.0
5138,27.5902193611,73.0,0.0,2.0,2.0,3.0,1.0,5,3,1,1200.0
5139,33.5,15.0,538.0,2.0,2.0,3.0,1.0,10,3,1,540.0
5141,20.799999,70.0,10.0,1.0,1.0,3.0,1.0,10,1,1,1824.5
5144,27.5,45.0,0.0,2.0,1.0,3.0,1.0,9,1,1,1538.46
5145,31.700001,60.0,0.0,2.0,2.0,3.0,1.0,9,1,0,1900.0
5149,28.200001,100.0,5.0,2.0,1.0,3.0,1.0,4,1,1,2884.61
5150,24.4,65.0,5.0,2.0,2.0,3.0,2.0,9,1,1,1000.0
5154,24.299999,150.0,0.0,2.0,2.0,3.0,1.0,10,1,1,600.0
5158,25.799999,30.0,0.0,1.0,2.0,3.0,2.0,9,2,0,940.536575074
5159,28.5,20.0,0.0,2.0,1.0,3.0,1.0,11,6,0,940.536575074
5165,31.6,15.0,35.0,2.0,1.0,3.0,1.0,9,3,1,940.536575074
5176,38.299999,45.0,15.0,1.0,1.0,3.0,2.0,6,6,1,700.0
5194,23.0,90.0,5.0,2.0,1.0,3.0,2.0,11,2,1,400.0
