,bmi,primary_eating,secondary_eating,exercise,fast_food,food_amount,stores,maj_ind,cat_occ,income_lvl,income_weekly
711,22.0,50.0,20.0,2.0,2.0,3.0,2.0,5,3,1,560.0
731,33.900002,45.0,30.0,2.0,1.0,3.0,1.0,11,2,0,265.6
739,30.700001,90.0,0.0,2.0,1.0,3.0,2.0,9,1,1,1730.76
753,28.799999,45.0,0.0,2.0,1.0,3.0,2.0,10,1,1,2884.61
754,32.900002,95.0,6.0,1.0,2.0,3.0,1.0,9,1,1,615.38
757,27.299999,0.0,0.0,1.0,1.0,3.0,1.0,5,6,0,327.25
758,29.4,185.0,0.0,1.0,1.0,3.0,2.0,13,2,1,659.2
760,17.700001,60.0,210.0,2.0,1.0,3.0,1.0,3,3,1,769.23
761,26.4,30.0,10.0,2.0,2.0,3.0,1.0,8,3,1,276.92
771,37.700001,32.0,0.0,1.0,1.0,2.0,1.0,9,2,0,367.5
777,27.200001,60.0,3.0,2.0,1.0,3.0,1.0,9,1,1,940.536575074
778,30.700001,95.0,0.0,1.0,2.0,3.0,2.0,1,4,1,519.23
784,18.1,55.0,0.0,1.0,2.0,3.0,2.0,4,2,0,583.86
788,27.5902193611,180.0,20.0,2.0,2.0,3.0,5.0,9,1,1,940.536575074
795,31.6,150.0,30.0,2.0,1.0,3.0,1.0,10,1,1,923.07
803,20.799999,10.0,120.0,2.0,2.0,3.0,1.0,10,1,1,961.53
814,36.299999,55.0,5.0,2.0,1.0,3.0,1.0,9,1,1,1346.15
816,25.799999,15.0,0.0,2.0,2.0,3.0,1.0,11,2,0,222.0
819,23.799999,60.0,0.0,2.0,1.0,3.0,1.0,5,3,1,650.0
820,24.4,0.0,21.0,2.0,1.0,3.0,2.0,5,3,1,149.15
825,22.200001,40.0,0.0,2.0,1.0,3.0,5.0,4,1,1,2019.23
830,22.700001,120.0,0.0,1.0,2.0,3.0,2.0,9,1,1,1442.3
831,23.6,70.0,230.0,2.0,2.0,3.0,2.0,13,6,1,923.07
846,29.5,15.0,0.0,2.0,2.0,3.0,1.0,10,6,1,525.0
855,25.799999,10.0,0.0,2.0,2.0,1.0,2.0,10,2,0,500.0
857,36.200001,30.0,0.0,1.0,1.0,3.0,1.0,4,6,0,778.0
889,22.700001,18.0,0.0,2.0,2.0,3.0,1.0,8,3,1,225.0
902,25.799999,30.0,30.0,2.0,2.0,3.0,1.0,10,2,0,300.0
911,26.9,210.0,0.0,1.0,2.0,3.0,5.0,1,1,1,940.536575074
921,29.1,180.0,25.0,2.0,2.0,3.0,1.0,9,1,1,1644.23
922,38.0,50.0,135.0,2.0,1.0,3.0,1.0,11,3,1,560.0
931,27.9,38.0,2.0,2.0,1.0,2.0,1.0,11,2,1,72.5
941,30.700001,210.0,0.0,2.0,2.0,3.0,1.0,5,6,1,225.0
950,24.700001,20.0,5.0,1.0,1.0,3.0,1.0,10,2,1,212.2
958,27.299999,60.0,0.0,2.0,1.0,3.0,1.0,10,1,1,2403.84
959,24.299999,75.0,15.0,1.0,1.0,3.0,1.0,12,3,1,170.0
969,21.6,75.0,15.0,2.0,1.0,3.0,1.0,13,1,1,1346.15
979,30.5,0.0,40.0,1.0,1.0,3.0,1.0,5,2,1,2359.2
982,31.5,120.0,0.0,2.0,2.0,3.0,1.0,13,1,1,1307.0
994,31.6,105.0,0.0,1.0,1.0,3.0,2.0,9,6,1,800.0
997,23.700001,238.0,5.0,2.0,1.0,3.0,1.0,4,1,1,1461.53
1005,37.299999,90.0,0.0,2.0,1.0,3.0,1.0,8,3,1,1000.0
1011,22.700001,90.0,0.0,2.0,2.0,3.0,1.0,13,1,1,2500.0
1024,31.6,20.0,0.0,2.0,1.0,3.0,5.0,3,5,0,940.536575074
1033,28.700001,90.0,0.0,2.0,1.0,3.0,1.0,5,3,0,808.0
1044,29.700001,30.0,0.0,2.0,2.0,3.0,1.0,12,3,0,230.76
1048,23.200001,90.0,30.0,2.0,2.0,3.0,1.0,12,1,1,1500.0
1053,27.5902193611,75.0,0.0,1.0,2.0,3.0,2.0,10,6,1,250.0
1069,23.0,140.0,10.0,1.0,2.0,3.0,1.0,11,2,0,380.0
1091,25.1,120.0,0.0,2.0,1.0,3.0,2.0,4,6,1,1300.0
1097,23.700001,0.0,20.0,2.0,1.0,3.0,1.0,12,2,1,700.0
1103,42.599998,10.0,45.0,2.0,1.0,3.0,1.0,5,3,1,2884.61
1105,30.5,15.0,0.0,2.0,2.0,3.0,1.0,12,6,0,300.0
1113,18.799999,145.0,10.0,2.0,1.0,3.0,2.0,11,1,1,940.536575074
1115,32.099998,20.0,4.0,2.0,1.0,3.0,2.0,12,2,1,1730.76
1116,36.599998,30.0,60.0,1.0,2.0,3.0,1.0,13,1,1,692.3
1137,25.0,20.0,0.0,2.0,2.0,3.0,3.0,10,1,1,940.536575074
1145,21.9,20.0,10.0,1.0,1.0,3.0,1.0,12,1,1,1288.46
1157,31.1,45.0,0.0,1.0,2.0,3.0,2.0,8,3,1,800.0
1158,31.200001,90.0,10.0,2.0,1.0,3.0,2.0,9,3,0,423.07
1172,21.799999,90.0,4.0,2.0,2.0,3.0,1.0,10,1,1,1673.07
1178,24.9,60.0,10.0,2.0,2.0,3.0,2.0,5,3,1,600.0
1185,34.0,6.0,3.0,2.0,2.0,3.0,1.0,10,2,0,375.0
1186,54.799999,30.0,320.0,2.0,1.0,3.0,5.0,13,3,1,423.07
